"household","dtxsid","total.used","dir.derm.exp","dir.derm.max","dir.derm.abs","dir.inhal.exp","dir.inhal.max","dir.inhal.mass","dir.inhal.abs","dir.ingest.exp","dir.ingest.abs","dir.release","ind.derm.exp","ind.derm.pr.exp","ind.derm.ar.exp","ind.derm.max","ind.derm.abs","ind.inhal.exp","ind.inhal.pr.exp","ind.inhal.ar.exp","ind.inhal.amb.in","ind.inhal.amb.out","ind.inhal.max","ind.inhal.mass","ind.inhal.abs","ind.ingest.exp","ind.ingest.abs","out.sur","out.air","drain","waste","food.ing","food.abs"
8,"DTXSID3020205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"DTXSID7021360",722253.044,0,0,0,0,0,0,0,0,0,0,0.829266464538783,0.829266464538783,0,0.000216331881701541,0.000550036506677596,0.668742958851188,0.668742958851188,0,0,0,4.06302709151137,9.47000540021873,1.515200864035,1.88406192900666e-07,1.88348432083672e-07,0,1169.94997396352,0,20.0432178014161,0,0
8,"DTXSID8020462",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"DTXSID8020913",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"DTXSID2021781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"DTXSID3020205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"DTXSID7021360",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"DTXSID8020462",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"DTXSID8020913",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"DTXSID2021781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"DTXSID3020205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"DTXSID7021360",207913.420254316,0,0,0,0,0,0,0,0,0,0,0.0520474055264708,0.0520474055264708,0,1.36752070270631e-05,3.48864597783575e-05,0.0560411150032835,0.0560411150032835,0,0,0,0.817496303847257,1.13273156769643,0.18123705083143,8.25689040107992e-08,8.25435903664832e-08,0,410.831181335849,0,7.2159503422134,0,0
13,"DTXSID8020462",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"DTXSID8020913",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"DTXSID2021781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"DTXSID3020205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"DTXSID7021360",913857.212,0,0,0,2.48321834663256,67.8525891861657,125.154204670281,20.024672747245,0,0,2360.28918681319,0.744377549320768,0.744377549320768,0,0.000186969851158201,0.000497356734893974,0.253885557189667,0.253885557189667,0,0,0,3.18652599492332,6.3748526951016,1.01997643121626,1.03677255786423e-08,1.03645470828053e-08,0,1514.23015158585,0,25.4624858389809,0,0
14,"DTXSID8020462",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"DTXSID8020913",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,"DTXSID2021781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
