"puc","product_id","formulation_id","chemical","mass.fraction"
"HM.2000.040.050.F",95141,82,"DTXSID7021360",0.564
"AC.0700.020.099.F",79065,93,"DTXSID8020462",0.09
"CP.1200.060.099.F",63410,91,"DTXSID8020462",0.04638295
