"puc","product_id","formulation_id","chemical","mass.fraction"
"HM.0100.020.099.F",88380,62,"DTXSID7021360",0.573012324
"HM.1400.010.050.F",93142,41,"DTXSID7021360",0.104487325
"HM.1400.040.099.F",89981,22,"DTXSID7021360",0.23
"VE.0100.030.099.F",84013,8,"DTXSID7021360",0.03
"VE.0500.050.099.F",85020,97,"DTXSID8020913",0.00094907
