"puc","product_id","formulation_id","chemical","mass.fraction"
"HM.1400.040.099.F",90012,63,"DTXSID7021360",0.59
"CP.1200.060.099.F",59720,30,"DTXSID8020462",0.047567766
"EL.0300.050.099.F",97056,76,"DTXSID8020462",0.025774314
