"puc","product_id","formulation_id","chemical","mass.fraction"
"HM.0800.010.099.F",87143,8,"DTXSID7021360",0.2
"HM.2000.040.050.F",95141,34,"DTXSID7021360",0.564
"VE.0100.010.050.F",81952,21,"DTXSID7021360",0.1
"AC.0700.020.099.F",79065,15,"DTXSID8020462",0.09
