"puc","product_id","formulation_id","chemical","mass.fraction"
"HM.0400.010.099.F",86563,6,"DTXSID7021360",0.263740483
"HM.0800.010.099.F",87074,31,"DTXSID7021360",0.38
"HM.1400.040.099.F",90001,68,"DTXSID7021360",0.676
