"daynum","ind.derm.exp1","ind.derm.exp2","ind.derm.exp3","ind.derm.exp4","ind.derm.exp5","ind.derm.pr.exp1","ind.derm.pr.exp2","ind.derm.pr.exp3","ind.derm.pr.exp4","ind.derm.pr.exp5","ind.derm.ar.exp1","ind.derm.ar.exp2","ind.derm.ar.exp3","ind.derm.ar.exp4","ind.derm.ar.exp5","ind.derm.max1","ind.derm.max2","ind.derm.max3","ind.derm.max4","ind.derm.max5","ind.derm.abs1","ind.derm.abs2","ind.derm.abs3","ind.derm.abs4","ind.derm.abs5","ind.inhal.exp1","ind.inhal.exp2","ind.inhal.exp3","ind.inhal.exp4","ind.inhal.exp5","ind.inhal.pr.exp1","ind.inhal.pr.exp2","ind.inhal.pr.exp3","ind.inhal.pr.exp4","ind.inhal.pr.exp5","ind.inhal.ar.exp1","ind.inhal.ar.exp2","ind.inhal.ar.exp3","ind.inhal.ar.exp4","ind.inhal.ar.exp5","ind.inhal.amb.in1","ind.inhal.amb.in2","ind.inhal.amb.in3","ind.inhal.amb.in4","ind.inhal.amb.in5","ind.inhal.amb.out1","ind.inhal.amb.out2","ind.inhal.amb.out3","ind.inhal.amb.out4","ind.inhal.amb.out5","ind.inhal.max1","ind.inhal.max2","ind.inhal.max3","ind.inhal.max4","ind.inhal.max5","ind.inhal.mass1","ind.inhal.mass2","ind.inhal.mass3","ind.inhal.mass4","ind.inhal.mass5","ind.inhal.abs1","ind.inhal.abs2","ind.inhal.abs3","ind.inhal.abs4","ind.inhal.abs5","ind.ingest.exp1","ind.ingest.exp2","ind.ingest.exp3","ind.ingest.exp4","ind.ingest.exp5","ind.ingest.abs1","ind.ingest.abs2","ind.ingest.abs3","ind.ingest.abs4","ind.ingest.abs5"
1,0,0,0,1.49635102839592e-09,0,0,0,0,1.49635102839592e-09,0,0,0,0,0,0,0,0,0,7.0864733251695e-13,0,0,0,0,1.14897196041506e-10,0,0,0,0,4.00894368288104e-10,0,0,0,0,4.00894368288104e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5678099938811e-09,0,0,0,0,9.69282695756357e-09,0,0,0,0,1.55085231321017e-09,0,0,0,0,1.43621847003226e-11,0,0,0,0,1.14727394148377e-11,0
2,0,0,0,3.39659782520962e-09,0,0,0,0,3.39659782520962e-09,0,0,0,0,0,0,0,0,0,1.39860469435123e-12,0,0,0,0,2.60807496898384e-10,0,0,0,0,2.24444661940207e-11,0,0,0,0,2.24444661940207e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.57975070316217e-09,0,0,0,0,4.64110567672422e-10,0,0,0,0,7.42576908275875e-11,0,0,0,0,3.2601017002454e-11,0,0,0,0,2.60422060105831e-11,0
3,0,0,0,6.33822806129027e-09,0,0,0,0,6.33822806129027e-09,0,0,0,0,0,0,0,0,0,2.0605654730452e-12,0,0,0,0,4.86680343244403e-10,0,0,0,0,1.86898622010146e-11,0,0,0,0,1.86898622010146e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.59168748007356e-09,0,0,0,0,3.42476658407411e-10,0,0,0,0,5.47962653451857e-11,0,0,0,0,6.08351919847334e-11,0,0,0,0,4.85961098158548e-11,0
4,0,0,0,4.25581664319352e-09,0,0,0,0,4.25581664319352e-09,0,0,0,0,0,0,0,0,0,2.68683603967064e-12,0,0,0,0,3.26782546267833e-10,0,0,0,0,4.19906913611725e-10,0,0,0,0,4.19906913611725e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6047248171367e-09,0,0,0,0,9.92280111507141e-09,0,0,0,0,1.58764817841143e-09,0,0,0,0,4.0847918383012e-11,0,0,0,0,3.26299607633041e-11,0
5,0,0,0,7.89278284787354e-09,0,0,0,0,7.89278284787354e-09,0,0,0,0,0,0,0,0,0,3.31772472805636e-12,0,0,0,0,6.06046710281149e-10,0,0,0,0,3.02598848455816e-11,0,0,0,0,3.02598848455816e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.61426547456484e-09,0,0,0,0,5.01350088218169e-10,0,0,0,0,8.0216014114907e-11,0,0,0,0,7.57560244284507e-11,0,0,0,0,6.05151058496113e-11,0
6,0,0,0,2.93785613291539e-08,0,0,0,0,2.93785613291539e-08,0,0,0,0,0,0,0,0,0,3.92845321463465e-12,0,0,0,0,2.25583052131272e-09,0,0,0,0,3.68290712264014e-10,0,0,0,0,3.68290712264014e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6270062434081e-09,0,0,0,0,8.65488350167063e-09,0,0,0,0,1.3847813602673e-09,0,0,0,0,2.81979506166666e-10,0,0,0,0,2.25249672113053e-10,0
7,0,0,0,3.32323686704676e-08,0,0,0,0,3.32323686704676e-08,0,0,0,0,0,0,0,0,0,4.50094536216372e-12,0,0,0,0,2.55174481494995e-09,0,0,0,0,4.72381798354307e-10,0,0,0,0,4.72381798354307e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.63850624401623e-09,0,0,0,0,1.11245449044992e-08,0,0,0,0,1.77992718471987e-09,0,0,0,0,3.18968883515337e-10,0,0,0,0,2.54797369506811e-10,0
8,0,0,0,1.50688255041028e-08,0,0,0,0,1.50688255041028e-08,0,0,0,0,0,0,0,0,0,5.05131177779972e-12,0,0,0,0,1.15705858131174e-09,0,0,0,0,5.41362217811121e-11,0,0,0,0,5.41362217811121e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.64527401449561e-09,0,0,0,0,9.3810867110191e-10,0,0,0,0,1.50097387376306e-10,0,0,0,0,1.44632677092393e-10,0,0,0,0,1.15534861149231e-10,0
9,0,0,0,1.55633723900135e-08,0,0,0,0,1.55633723900135e-08,0,0,0,0,0,0,0,0,0,5.58166605934169e-12,0,0,0,0,1.19503232505495e-09,0,0,0,0,5.43512172319801e-11,0,0,0,0,5.43512172319801e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.65492480606893e-09,0,0,0,0,9.16631027400847e-10,0,0,0,0,1.46660964384136e-10,0,0,0,0,1.49379406692354e-10,0,0,0,0,1.19326623538405e-10,0
10,0,0,0,1.22216154047772e-08,0,0,0,0,1.22216154047772e-08,0,0,0,0,0,0,0,0,0,6.09988572814291e-12,0,0,0,0,9.38435777741201e-10,0,0,0,0,5.52361822556173e-11,0,0,0,0,5.52361822556173e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.66438811720268e-09,0,0,0,0,8.53816972184401e-10,0,0,0,0,1.36610715549504e-10,0,0,0,0,1.17304759677871e-10,0,0,0,0,9.37048901671722e-11,0
11,0,0,0,1.44667842066404e-08,0,0,0,0,1.44667842066404e-08,0,0,0,0,0,0,0,0,0,6.57272286649936e-12,0,0,0,0,1.11083088763095e-09,0,0,0,0,4.59152942875449e-10,0,0,0,0,4.59152942875449e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.67708583754216e-09,0,0,0,0,1.05539827181984e-08,0,0,0,0,1.68863723491175e-09,0,0,0,0,1.38854201221898e-10,0,0,0,0,1.10918923583992e-10,0
12,0,0,0,1.56138192878177e-08,0,0,0,0,1.56138192878177e-08,0,0,0,0,0,0,0,0,0,7.09209481391896e-12,0,0,0,0,1.19890588613568e-09,0,0,0,0,6.8429783121276e-11,0,0,0,0,6.8429783121276e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.68205140277399e-09,0,0,0,0,1.07370541253678e-09,0,0,0,0,1.71792866005885e-10,0,0,0,0,1.49863603013988e-10,0,0,0,0,1.19713407188639e-10,0
13,0,0,0,5.8328082458762e-08,0,0,0,0,5.8328082458762e-08,0,0,0,0,0,0,0,0,0,7.53709028734826e-12,0,0,0,0,4.47871722464328e-09,0,0,0,0,5.26174359159642e-10,0,0,0,0,5.26174359159642e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69504380022307e-09,0,0,0,0,1.22139230216572e-08,0,0,0,0,1.95422768346515e-09,0,0,0,0,5.59841024994263e-10,0,0,0,0,4.47209831060766e-10,0
