"daynum","ind.derm.exp1","ind.derm.exp2","ind.derm.exp3","ind.derm.exp4","ind.derm.exp5","ind.derm.pr.exp1","ind.derm.pr.exp2","ind.derm.pr.exp3","ind.derm.pr.exp4","ind.derm.pr.exp5","ind.derm.ar.exp1","ind.derm.ar.exp2","ind.derm.ar.exp3","ind.derm.ar.exp4","ind.derm.ar.exp5","ind.derm.max1","ind.derm.max2","ind.derm.max3","ind.derm.max4","ind.derm.max5","ind.derm.abs1","ind.derm.abs2","ind.derm.abs3","ind.derm.abs4","ind.derm.abs5","ind.inhal.exp1","ind.inhal.exp2","ind.inhal.exp3","ind.inhal.exp4","ind.inhal.exp5","ind.inhal.pr.exp1","ind.inhal.pr.exp2","ind.inhal.pr.exp3","ind.inhal.pr.exp4","ind.inhal.pr.exp5","ind.inhal.ar.exp1","ind.inhal.ar.exp2","ind.inhal.ar.exp3","ind.inhal.ar.exp4","ind.inhal.ar.exp5","ind.inhal.amb.in1","ind.inhal.amb.in2","ind.inhal.amb.in3","ind.inhal.amb.in4","ind.inhal.amb.in5","ind.inhal.amb.out1","ind.inhal.amb.out2","ind.inhal.amb.out3","ind.inhal.amb.out4","ind.inhal.amb.out5","ind.inhal.max1","ind.inhal.max2","ind.inhal.max3","ind.inhal.max4","ind.inhal.max5","ind.inhal.mass1","ind.inhal.mass2","ind.inhal.mass3","ind.inhal.mass4","ind.inhal.mass5","ind.inhal.abs1","ind.inhal.abs2","ind.inhal.abs3","ind.inhal.abs4","ind.inhal.abs5","ind.ingest.exp1","ind.ingest.exp2","ind.ingest.exp3","ind.ingest.exp4","ind.ingest.exp5","ind.ingest.abs1","ind.ingest.abs2","ind.ingest.abs3","ind.ingest.abs4","ind.ingest.abs5"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0.0730572273878951,0,0,0,0,0.0730572273878951,0,0,0,0,0,0,0,0,0,1.60078915965242e-05,0,0,0,0,0.000318924949168813,0,0,0,0,0.000667941296684701,0,0,0,0,0.000667941296684701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00869832094820517,0,0,0,0,0.0117557668216507,0,0,0,0,0.00188092269146412,0,0,0,0,1.47936205663533e-07,0,0,0,0,1.47893676667257e-07
9,0,0,0,0,0.0862124632159414,0,0,0,0,0.0862124632159414,0,0,0,0,0,0,0,0,0,1.5795441404662e-05,0,0,0,0,0.000376352982886646,0,0,0,0,0.000357358958240592,0,0,0,0,0.000357358958240592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000537895934984541,0,0,0,0,0.0052178237441348,0,0,0,0,0.000834851799061567,0,0,0,0,1.74574715535762e-07,0,0,0,0,1.74524528447391e-07
10,0,0,0,0,0.0844320491684033,0,0,0,0,0.0844320491684033,0,0,0,0,0,0,0,0,0,1.5697259485131e-05,0,0,0,0,0.00036858074077026,0,0,0,0,0.000354201644503598,0,0,0,0,0.000354201644503598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000534552209125092,0,0,0,0,0.00515356243603917,0,0,0,0,0.000824569989766267,0,0,0,0,1.70969491136753e-07,0,0,0,0,1.70920340485502e-07
11,0,0,0,0,0.0879041211053574,0,0,0,0,0.0879041211053574,0,0,0,0,0,0,0,0,0,1.52788080912109e-05,0,0,0,0,0.000383737767742064,0,0,0,0,0.000357552661936804,0,0,0,0,0.000357552661936804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000520891696058301,0,0,0,0,0.00528381732208139,0,0,0,0,0.000845410771533022,0,0,0,0,1.78000214399992e-07,0,0,0,0,1.77949042542356e-07
12,0,0,0,0,0.0846217177308213,0,0,0,0,0.0846217177308213,0,0,0,0,0,0,0,0,0,1.51838374721862e-05,0,0,0,0,0.000369408722323775,0,0,0,0,0.000351600528507601,0,0,0,0,0.000351600528507601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00051706820950724,0,0,0,0,0.00513891184565963,0,0,0,0,0.000822225895305541,0,0,0,0,1.71353557826128e-07,0,0,0,0,1.71304296762617e-07
13,0,0,0,0,0.113912083358368,0,0,0,0,0.113912083358368,0,0,0,0,0,0,0,0,0,1.48509197870382e-05,0,0,0,0,0.000497273256783906,0,0,0,0,0.000457297460079079,0,0,0,0,0.000457297460079079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000505731078713522,0,0,0,0,0.00680870605774556,0,0,0,0,0.00108939296923929,0,0,0,0,2.3066467198093e-07,0,0,0,0,2.30598360039699e-07
14,0,0,0,0,0.193587039527875,0,0,0,0,0.193587039527875,0,0,0,0,0,0,0,0,0,3.05152554245016e-05,0,0,0,0,0.000845087323302913,0,0,0,0,0.00136362151524977,0,0,0,0,0.00136362151524977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00925964166757848,0,0,0,0,0.02285143726283,0,0,0,0,0.0036562299620528,0,0,0,0,3.9200135451808e-07,0,0,0,0,3.91888661184681e-07
15,0,0,0,0,0.170477325842408,0,0,0,0,0.170477325842408,0,0,0,0,0,0,0,0,0,3.04051634660711e-05,0,0,0,0,0.000744203885401398,0,0,0,0,0.0006846395475436,0,0,0,0,0.0006846395475436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00104355463646469,0,0,0,0,0.0101724604890451,0,0,0,0,0.00162759367824722,0,0,0,0,3.45205664634492e-07,0,0,0,0,3.45106424219612e-07
16,0,0,0,0,0.14789502396156,0,0,0,0,0.14789502396156,0,0,0,0,0,0,0,0,0,2.95949263439457e-05,0,0,0,0,0.000645622817696421,0,0,0,0,0.000660340597956931,0,0,0,0,0.000660340597956931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001007821349721,0,0,0,0,0.00935085137279444,0,0,0,0,0.00149613621964711,0,0,0,0,2.99477949871058e-07,0,0,0,0,2.99391855351073e-07
17,0,0,0,0,0.154129349516952,0,0,0,0,0.154129349516952,0,0,0,0,0,0,0,0,0,2.90867525889627e-05,0,0,0,0,0.000672838221728914,0,0,0,0,0.000644371442954979,0,0,0,0,0.000644371442954979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000990516074023125,0,0,0,0,0.00938273871047612,0,0,0,0,0.00150123819367618,0,0,0,0,3.12102059771083e-07,0,0,0,0,3.12012336046736e-07
18,0,0,0,0,0.133769187126767,0,0,0,0,0.133769187126767,0,0,0,0,0,0,0,0,0,2.89259871095118e-05,0,0,0,0,0.000583957710005106,0,0,0,0,0.000615844260617372,0,0,0,0,0.000615844260617372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000985041389592229,0,0,0,0,0.00862195875794914,0,0,0,0,0.00137951340127186,0,0,0,0,2.70874035133558e-07,0,0,0,0,2.7079616372419e-07
19,0,0,0,0,0.152264293321206,0,0,0,0,0.152264293321206,0,0,0,0,0,0,0,0,0,2.81548894769299e-05,0,0,0,0,0.000664696481702737,0,0,0,0,0.000641446868875672,0,0,0,0,0.000641446868875672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000958782542119395,0,0,0,0,0.00930168995159543,0,0,0,0,0.00148827039225527,0,0,0,0,3.08325440443839e-07,0,0,0,0,3.08236802429569e-07
