"daynum","ind.derm.exp1","ind.derm.exp2","ind.derm.exp3","ind.derm.exp4","ind.derm.exp5","ind.derm.pr.exp1","ind.derm.pr.exp2","ind.derm.pr.exp3","ind.derm.pr.exp4","ind.derm.pr.exp5","ind.derm.ar.exp1","ind.derm.ar.exp2","ind.derm.ar.exp3","ind.derm.ar.exp4","ind.derm.ar.exp5","ind.derm.max1","ind.derm.max2","ind.derm.max3","ind.derm.max4","ind.derm.max5","ind.derm.abs1","ind.derm.abs2","ind.derm.abs3","ind.derm.abs4","ind.derm.abs5","ind.inhal.exp1","ind.inhal.exp2","ind.inhal.exp3","ind.inhal.exp4","ind.inhal.exp5","ind.inhal.pr.exp1","ind.inhal.pr.exp2","ind.inhal.pr.exp3","ind.inhal.pr.exp4","ind.inhal.pr.exp5","ind.inhal.ar.exp1","ind.inhal.ar.exp2","ind.inhal.ar.exp3","ind.inhal.ar.exp4","ind.inhal.ar.exp5","ind.inhal.amb.in1","ind.inhal.amb.in2","ind.inhal.amb.in3","ind.inhal.amb.in4","ind.inhal.amb.in5","ind.inhal.amb.out1","ind.inhal.amb.out2","ind.inhal.amb.out3","ind.inhal.amb.out4","ind.inhal.amb.out5","ind.inhal.max1","ind.inhal.max2","ind.inhal.max3","ind.inhal.max4","ind.inhal.max5","ind.inhal.mass1","ind.inhal.mass2","ind.inhal.mass3","ind.inhal.mass4","ind.inhal.mass5","ind.inhal.abs1","ind.inhal.abs2","ind.inhal.abs3","ind.inhal.abs4","ind.inhal.abs5","ind.ingest.exp1","ind.ingest.exp2","ind.ingest.exp3","ind.ingest.exp4","ind.ingest.exp5","ind.ingest.abs1","ind.ingest.abs2","ind.ingest.abs3","ind.ingest.abs4","ind.ingest.abs5"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,2.27018619477304,0.418038110271502,0,0,0,2.27018619477304,0.418038110271502,0,0,0,0,0,0,0,0,0.000480478585557058,0.000103826861466748,0,0,0,0.870463424910334,0.000279405721993881,0,0,0,0.00532959007331834,2.03438514536075,0,0,0,0.00532959007331834,2.03438514536075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227133826770209,5.60186581108324,0,0,0,0.0802463075759534,31.2727533446367,0,0,0,0.0128394092121525,5.00364053514188,0,0,0,0.000240554413188697,1.33163165808661e-08,0,0,0,0.000240439140957224,1.3312234117794e-08,0,0
8,0,1.39919823239293,0.224075873161475,0,0,0,1.39919823239293,0.224075873161475,0,0,0,0,0,0,0,0,0.000479992351328788,8.12009511241069e-05,0,0,0,0.536498234506709,0.000149766443737461,0,0,0,0.000444174887035313,0.303552883783924,0,0,0,0.000444174887035313,0.303552883783924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00148386745063605,1.03168676207557,0,0,0,0.00715213404031036,2.92186613020033,0,0,0,0.00114434144644966,0.467498580832052,0,0,0,0.000148262424686974,7.13778287633698e-09,0,0,0,0.000148191378222638,7.13559460341389e-09,0,0
9,0,1.01019582674152,0.0949860773377498,0,0,0,1.01019582674152,0.0949860773377498,0,0,0,0,0,0,0,0,0.00047932158939564,4.67607694515616e-05,0,0,0,0.387342025601325,6.34862058406206e-05,0,0,0,0.000314995324196655,0.0870898469632257,0,0,0,0.000314995324196655,0.0870898469632257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00148161793574895,0.158478960197853,0,0,0,0.00500942967907231,0.880637091140923,0,0,0,0.00080150874865157,0.140901934582548,0,0,0,0.000107042790087873,3.02571618597793e-09,0,0,0,0.00010699149582512,3.02478857401249e-09,0,0
10,0,1.33659289369524,0.0752405350924057,0,0,0,1.33659289369524,0.0752405350924057,0,0,0,0,0,0,0,0,0.000478651755770729,2.84648426288247e-05,0,0,0,0.512493305895154,5.02888026573608e-05,0,0,0,0.000402640362697844,0.0499755173086404,0,0,0,0.000402640362697844,0.0499755173086404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00147954742764955,0.0864041011552563,0,0,0,0.00659597572330977,0.545114842682101,0,0,0,0.00105535611572956,0.0872183748291361,0,0,0,0.000141628611765559,2.3967355137873e-09,0,0,0,0.000141560744184572,2.39600073220043e-09,0,0
11,0,1.19856363755918,0.0370917180135283,0,0,0,1.19856363755918,0.0370917180135283,0,0,0,0,0,0,0,0,0.000477982858212557,1.53001964318233e-05,0,0,0,0.459568387529138,2.47911326669056e-05,0,0,0,0.0003618628962478,0.0277954447855479,0,0,0,0.0003618628962478,0.0277954447855479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00147747981659484,0.0493798499945022,0,0,0,0.00587869679719951,0.293990311086451,0,0,0,0.000940591487551922,0.0470384497738321,0,0,0,0.000127002698354081,1.18153117493419e-09,0,0,0,0.000126941839423046,1.1811689458327e-09,0,0
12,0,1.38778981967417,0.0245532900163185,0,0,0,1.38778981967417,0.0245532900163185,0,0,0,0,0,0,0,0,0.000477314895413189,8.75143162976809e-06,0,0,0,0.532123877006506,1.64107758497881e-05,0,0,0,0.000412581046428629,0.0156165154698758,0,0,0,0.000412581046428629,0.0156165154698758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00147541509494772,0.028243957201115,0,0,0,0.00673416160252364,0.172344780212902,0,0,0,0.00107746585640378,0.0275751648340643,0,0,0,0.000147053561716485,7.82128171871141e-10,0,0,0,0.000146983094532032,7.81888390144722e-10,0,0
13,0,2.92256918073902,0.0319792158703036,0,0,0,2.92256918073902,0.0319792158703036,0,0,0,0,0,0,0,0,0.000476842319944921,5.9297254756928e-06,0,0,0,1.12060833796843,2.13740701613e-05,0,0,0,0.000831730598891201,0.0123416670854253,0,0,0,0.000831730598891201,0.0123416670854253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00147395432976716,0.0161550207133356,0,0,0,0.0141863707144649,0.160492128106346,0,0,0,0.00226981931431438,0.0256787404970153,0,0,0,0.000309682490315,1.01867593425931e-09,0,0,0,0.000309534092323736,1.01836363266609e-09,0,0
14,0,2.36189340987952,0.0148018364202817,0,0,0,2.36189340987952,0.0148018364202817,0,0,0,0,0,0,0,0,0.000476148205849626,3.29228747209684e-06,0,0,0,0.905626962039745,9.89315971493153e-06,0,0,0,0.000683466274605591,0.00705871803473516,0,0,0,0.000683466274605591,0.00705871803473516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00147180877256026,0.00924037507853448,0,0,0,0.0113992606225702,0.0850536111534217,0,0,0,0.00182388169961123,0.0136085777845475,0,0,0,0.000250271931234531,4.71502322175006e-10,0,0,0,0.000250152002426715,4.71357770879083e-10,0,0
15,0,1.22118519773162,0.00415094040655025,0,0,0,1.22118519773162,0.00415094040655025,0,0,0,0,0,0,0,0,0.000475344299211242,1.6762331792943e-06,0,0,0,0.468242231458703,2.77437982984972e-06,0,0,0,0.000373043256741023,0.00303408778911994,0,0,0,0.000373043256741023,0.00303408778911994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00146932383860869,0.00528532482049401,0,0,0,0.00602036815495976,0.0322883336379375,0,0,0,0.000963258904793561,0.00516613338206999,0,0,0,0.000129399733515877,1.32225352674264e-10,0,0,0,0.000129337725939974,1.32184815554543e-10,0,0
