"daynum","ind.derm.exp1","ind.derm.exp2","ind.derm.exp3","ind.derm.exp4","ind.derm.exp5","ind.derm.pr.exp1","ind.derm.pr.exp2","ind.derm.pr.exp3","ind.derm.pr.exp4","ind.derm.pr.exp5","ind.derm.ar.exp1","ind.derm.ar.exp2","ind.derm.ar.exp3","ind.derm.ar.exp4","ind.derm.ar.exp5","ind.derm.max1","ind.derm.max2","ind.derm.max3","ind.derm.max4","ind.derm.max5","ind.derm.abs1","ind.derm.abs2","ind.derm.abs3","ind.derm.abs4","ind.derm.abs5","ind.inhal.exp1","ind.inhal.exp2","ind.inhal.exp3","ind.inhal.exp4","ind.inhal.exp5","ind.inhal.pr.exp1","ind.inhal.pr.exp2","ind.inhal.pr.exp3","ind.inhal.pr.exp4","ind.inhal.pr.exp5","ind.inhal.ar.exp1","ind.inhal.ar.exp2","ind.inhal.ar.exp3","ind.inhal.ar.exp4","ind.inhal.ar.exp5","ind.inhal.amb.in1","ind.inhal.amb.in2","ind.inhal.amb.in3","ind.inhal.amb.in4","ind.inhal.amb.in5","ind.inhal.amb.out1","ind.inhal.amb.out2","ind.inhal.amb.out3","ind.inhal.amb.out4","ind.inhal.amb.out5","ind.inhal.max1","ind.inhal.max2","ind.inhal.max3","ind.inhal.max4","ind.inhal.max5","ind.inhal.mass1","ind.inhal.mass2","ind.inhal.mass3","ind.inhal.mass4","ind.inhal.mass5","ind.inhal.abs1","ind.inhal.abs2","ind.inhal.abs3","ind.inhal.abs4","ind.inhal.abs5","ind.ingest.exp1","ind.ingest.exp2","ind.ingest.exp3","ind.ingest.exp4","ind.ingest.exp5","ind.ingest.abs1","ind.ingest.abs2","ind.ingest.abs3","ind.ingest.abs4","ind.ingest.abs5"
1,0,0,0,8.74900705017387e-07,0,0,0,0,8.74900705017387e-07,0,0,0,0,0,0,0,0,0,5.48362183148668e-10,0,0,0,0,1.35222993661166e-07,0,0,0,0,3.6145070943927e-07,0,0,0,0,3.6145070943927e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.18948590526764e-06,0,0,0,0,9.44774148090886e-06,0,0,0,0,1.51163863694542e-06,0,0,0,0,3.76903647666747e-09,0,0,0,0,3.01076571873166e-09,0
2,0,0,0,2.59955460626027e-06,0,0,0,0,2.59955460626027e-06,0,0,0,0,0,0,0,0,0,1.10215286477359e-09,0,0,0,0,4.01782229718516e-07,0,0,0,0,3.6827828513142e-07,0,0,0,0,3.6827828513142e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.19657976313952e-06,0,0,0,0,9.56227447965158e-06,0,0,0,0,1.52996391674425e-06,0,0,0,0,1.11987749900021e-08,0,0,0,0,8.94575789871361e-09,0
3,0,0,0,3.70264192210735e-06,0,0,0,0,3.70264192210735e-06,0,0,0,0,0,0,0,0,0,1.61446440956795e-09,0,0,0,0,5.7227331317871e-07,0,0,0,0,3.65575920074434e-07,0,0,0,0,3.65575920074434e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.20355995145971e-06,0,0,0,0,9.33018147003631e-06,0,0,0,0,1.49282903520581e-06,0,0,0,0,1.59508300592619e-08,0,0,0,0,1.2741774356666e-08,0
4,0,0,0,4.6898014096522e-06,0,0,0,0,4.6898014096522e-06,0,0,0,0,0,0,0,0,0,1.90283769967772e-09,0,0,0,0,7.2484681136121e-07,0,0,0,0,3.5707346629212e-07,0,0,0,0,3.5707346629212e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.21034655844991e-06,0,0,0,0,8.81044168530569e-06,0,0,0,0,1.40967066964891e-06,0,0,0,0,2.02034727826107e-08,0,0,0,0,1.61388523644631e-08,0
5,0,0,0,5.99676230503925e-06,0,0,0,0,5.99676230503925e-06,0,0,0,0,0,0,0,0,0,2.68325663314026e-09,0,0,0,0,9.26848208615544e-07,0,0,0,0,3.80623180038852e-07,0,0,0,0,3.80623180038852e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.21724229421829e-06,0,0,0,0,9.55027727297764e-06,0,0,0,0,1.52804436367642e-06,0,0,0,0,2.58338068994335e-08,0,0,0,0,2.06364519628952e-08,0
6,0,0,0,2.42066618206645e-05,0,0,0,0,2.42066618206645e-05,0,0,0,0,0,0,0,0,0,3.25551350143113e-09,0,0,0,0,3.74133574148698e-06,0,0,0,0,4.01236274300775e-07,0,0,0,0,4.01236274300775e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.22405414088809e-06,0,0,0,0,1.03506862956519e-05,0,0,0,0,1.65610980730431e-06,0,0,0,0,1.04281309704311e-07,0,0,0,0,8.33015531438382e-08,0
7,0,0,0,2.81391995306342e-05,0,0,0,0,2.81391995306342e-05,0,0,0,0,0,0,0,0,0,3.77273705935029e-09,0,0,0,0,4.34914131162532e-06,0,0,0,0,3.15531272902993e-07,0,0,0,0,3.15531272902993e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.22964291103838e-06,0,0,0,0,8.07458196196442e-06,0,0,0,0,1.29193311391431e-06,0,0,0,0,1.21222521420962e-07,0,0,0,0,9.68344599718891e-08,0
8,0,0,0,8.01206897166991e-06,0,0,0,0,8.01206897166991e-06,0,0,0,0,0,0,0,0,0,4.10600411446272e-09,0,0,0,0,1.23833018484928e-06,0,0,0,0,3.81744565996301e-07,0,0,0,0,3.81744565996301e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.23690650454542e-06,0,0,0,0,8.94981921428567e-06,0,0,0,0,1.43197107428571e-06,0,0,0,0,3.45156656459654e-08,0,0,0,0,2.75716575123094e-08,0
9,0,0,0,8.17361643112758e-06,0,0,0,0,8.17361643112758e-06,0,0,0,0,0,0,0,0,0,4.60565791092938e-09,0,0,0,0,1.26329865379775e-06,0,0,0,0,3.92570652859425e-07,0,0,0,0,3.92570652859425e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2432989453287e-06,0,0,0,0,8.99173993103767e-06,0,0,0,0,1.43867838896603e-06,0,0,0,0,3.52116054982447e-08,0,0,0,0,2.81275852308425e-08,0
10,0,0,0,1.34672885850955e-05,0,0,0,0,1.34672885850955e-05,0,0,0,0,0,0,0,0,0,5.24682623639563e-09,0,0,0,0,2.08147858212009e-06,0,0,0,0,4.08257971908793e-07,0,0,0,0,4.08257971908793e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2496715265091e-06,0,0,0,0,1.01763117987335e-05,0,0,0,0,1.62820988779736e-06,0,0,0,0,5.8016528764854e-08,0,0,0,0,4.63445172277761e-08,0
