"daynum","ind.derm.exp1","ind.derm.exp2","ind.derm.exp3","ind.derm.exp4","ind.derm.exp5","ind.derm.pr.exp1","ind.derm.pr.exp2","ind.derm.pr.exp3","ind.derm.pr.exp4","ind.derm.pr.exp5","ind.derm.ar.exp1","ind.derm.ar.exp2","ind.derm.ar.exp3","ind.derm.ar.exp4","ind.derm.ar.exp5","ind.derm.max1","ind.derm.max2","ind.derm.max3","ind.derm.max4","ind.derm.max5","ind.derm.abs1","ind.derm.abs2","ind.derm.abs3","ind.derm.abs4","ind.derm.abs5","ind.inhal.exp1","ind.inhal.exp2","ind.inhal.exp3","ind.inhal.exp4","ind.inhal.exp5","ind.inhal.pr.exp1","ind.inhal.pr.exp2","ind.inhal.pr.exp3","ind.inhal.pr.exp4","ind.inhal.pr.exp5","ind.inhal.ar.exp1","ind.inhal.ar.exp2","ind.inhal.ar.exp3","ind.inhal.ar.exp4","ind.inhal.ar.exp5","ind.inhal.amb.in1","ind.inhal.amb.in2","ind.inhal.amb.in3","ind.inhal.amb.in4","ind.inhal.amb.in5","ind.inhal.amb.out1","ind.inhal.amb.out2","ind.inhal.amb.out3","ind.inhal.amb.out4","ind.inhal.amb.out5","ind.inhal.max1","ind.inhal.max2","ind.inhal.max3","ind.inhal.max4","ind.inhal.max5","ind.inhal.mass1","ind.inhal.mass2","ind.inhal.mass3","ind.inhal.mass4","ind.inhal.mass5","ind.inhal.abs1","ind.inhal.abs2","ind.inhal.abs3","ind.inhal.abs4","ind.inhal.abs5","ind.ingest.exp1","ind.ingest.exp2","ind.ingest.exp3","ind.ingest.exp4","ind.ingest.exp5","ind.ingest.abs1","ind.ingest.abs2","ind.ingest.abs3","ind.ingest.abs4","ind.ingest.abs5"
67,0,0,0.127151194726611,0,0,0,0,0.127151194726611,0,0,0,0,0,0,0,0,0,1.62985897772258e-05,0,0,0,0,8.49656292343655e-05,0,0,0,0,0.0133471886245524,0,0,0,0,0.0133471886245524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0165414140308482,0,0,0,0,0.291202511207642,0,0,0,0,0.0465924017932227,0,0,0,0,1.42500375897484e-08,0,0,0,0,1.42456688702243e-08,0,0
68,0,0,0.0888002553982018,0,0,0,0,0.0888002553982018,0,0,0,0,0,0,0,0,0,1.24306452812534e-05,0,0,0,0,5.93385661243928e-05,0,0,0,0,0.0089093592210457,0,0,0,0,0.0089093592210457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110275017449157,0,0,0,0,0.198425822143511,0,0,0,0,0.0317481315429618,0,0,0,0,9.9519865316594e-09,0,0,0,0,9.94893549143647e-09,0,0
69,0,0,0.0538901258030055,0,0,0,0,0.0538901258030055,0,0,0,0,0,0,0,0,0,8.27959589678977e-06,0,0,0,0,3.60107386974728e-05,0,0,0,0,0.00586492433958107,0,0,0,0,0.00586492433958107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00734501356391689,0,0,0,0,0.125915438023237,0,0,0,0,0.0201464700837179,0,0,0,0,6.03955251903253e-09,0,0,0,0,6.03770093717946e-09,0,0
70,0,0,0.0421914785050541,0,0,0,0,0.0421914785050541,0,0,0,0,0,0,0,0,0,5.51473448586941e-06,0,0,0,0,2.81934080699587e-05,0,0,0,0,0.00392121912612669,0,0,0,0,0.00392121912612669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00489224354727461,0,0,0,0,0.0905364887629633,0,0,0,0,0.0144858382020741,0,0,0,0,4.72846642107291e-09,0,0,0,0,4.7270167867514e-09,0,0
71,0,0,0.0232036341266586,0,0,0,0,0.0232036341266586,0,0,0,0,0,0,0,0,0,3.67316193069629e-06,0,0,0,0,1.55052524542495e-05,0,0,0,0,0.0026047382333474,0,0,0,0,0.0026047382333474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00325854359798986,0,0,0,0,0.0551677688248442,0,0,0,0,0.00882684301197507,0,0,0,0,2.60046835764771e-09,0,0,0,0,2.59967111646049e-09,0,0
72,0,0,0.0178090999737301,0,0,0,0,0.0178090999737301,0,0,0,0,0,0,0,0,0,2.44655814412966e-06,0,0,0,0,1.19004889306715e-05,0,0,0,0,0.00173645472076724,0,0,0,0,0.00173645472076724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00217039611323436,0,0,0,0,0.0391900405401136,0,0,0,0,0.00627040648641818,0,0,0,0,1.99589429427617e-09,0,0,0,0,1.99528240098701e-09,0,0
73,0,0,0.0115426371989027,0,0,0,0,0.0115426371989027,0,0,0,0,0,0,0,0,0,1.6295624493398e-06,0,0,0,0,7.71308075191454e-06,0,0,0,0,0.00115547831502672,0,0,0,0,0.00115547831502672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00144562107171091,0,0,0,0,0.0257601400528655,0,0,0,0,0.00412162240845848,0,0,0,0,1.2936017968439e-09,0,0,0,0,1.29320520957943e-09,0,0
74,0,0,0.00705099826932463,0,0,0,0,0.00705099826932463,0,0,0,0,0,0,0,0,0,9.47890777382459e-07,0,0,0,0,4.71165454616217e-06,0,0,0,0,0.000772668288812822,0,0,0,0,0.000772668288812822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000960001236758719,0,0,0,0,0.0165379229796407,0,0,0,0,0.00264606767674251,0,0,0,0,7.90216644044624e-10,0,0,0,0,7.89974382586759e-10,0,0
75,0,0,0.00519381150118882,0,0,0,0,0.00519381150118882,0,0,0,0,0,0,0,0,0,7.22939480044908e-07,0,0,0,0,3.47063559467157e-06,0,0,0,0,0.000517800368630202,0,0,0,0,0.000517800368630202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000641335682684671,0,0,0,0,0.0115661726436384,0,0,0,0,0.00185058762298215,0,0,0,0,5.82078755021864e-10,0,0,0,0,5.81900303645464e-10,0,0
76,0,0,0.00308796593870706,0,0,0,0,0.00308796593870706,0,0,0,0,0,0,0,0,0,4.20522494254742e-07,0,0,0,0,2.06345657703539e-06,0,0,0,0,0.000342451200824776,0,0,0,0,0.000342451200824776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000425640192855623,0,0,0,0,0.00729127453267563,0,0,0,0,0.0011666039252281,0,0,0,0,3.4607327754215e-10,0,0,0,0,3.45967179781014e-10,0,0
