"puc","product_id","formulation_id","chemical","mass.fraction"
"HM.0100.030.099.F",95206,36,"DTXSID7021360",0.028
"HM.1400.040.099.F",89992,58,"DTXSID7021360",0.01
"HM.2000.040.050.F",95141,57,"DTXSID7021360",0.564
