"household","dtxsid","total.used","dir.derm.exp","dir.derm.max","dir.derm.abs","dir.inhal.exp","dir.inhal.max","dir.inhal.mass","dir.inhal.abs","dir.ingest.exp","dir.ingest.abs","dir.release","ind.derm.exp","ind.derm.pr.exp","ind.derm.ar.exp","ind.derm.max","ind.derm.abs","ind.inhal.exp","ind.inhal.pr.exp","ind.inhal.ar.exp","ind.inhal.amb.in","ind.inhal.amb.out","ind.inhal.max","ind.inhal.mass","ind.inhal.abs","ind.ingest.exp","ind.ingest.abs","out.sur","out.air","drain","waste","food.ing","food.abs"
94,"DTXSID8020913",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,"DTXSID2021781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,"DTXSID3020205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,"DTXSID7021360",978723.4,0,0,0,0,0,0,0,0,0,0,0.147290437746016,0.147290437746016,0,2.03402372207276e-05,9.80122808635552e-05,0.0379339109857299,0.0379339109857299,0,0,0,0.605450670424261,0.986031502150696,0.157765040344111,1.55669331577024e-08,1.55621607096027e-08,0,1289.71820944492,0,30.0052707006453,0,0
95,"DTXSID8020462",225.62657208,0.0062602160466851,1.07262515866362e-05,2.49635184706984e-06,2.05238492625359e-09,7.9559846598415e-07,7.19141998649948e-08,1.15062719783992e-08,6.82412566411088e-07,5.45121909459161e-07,0.61985322,5.80715338771874e-09,5.80715338771874e-09,0,5.80932952674041e-13,5.74542617558421e-10,7.55633955280891e-12,7.55633955280891e-12,0,0,0,8.86973799532642e-11,1.88223483266543e-10,3.01157573226469e-11,6.00172424440624e-11,4.79427188359718e-11,0,2.47551781398019e-07,0.00613596166121225,0.00619853828118058,0,0
95,"DTXSID8020913",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,"DTXSID2021781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,"DTXSID3020205",15902.461935576,0.224396268825229,0.000511487840813871,0.0852780482782931,0.000731940083149706,0.0439018965124556,0.0219576612501234,0.00351322580001975,1.72673948377495e-07,1.72591204057476e-07,43.6880822405934,4.81154346213511,4.81154346213511,0,0.00125121318628078,1.83263674973189,0.0021517481674934,0.0021517481674934,0,0,0,0.00632683578947681,0.0553308547755935,0.00885293676409497,0.00308575079322585,0.00308427211996025,0,0.796990271063901,0.0115613706785079,7.57123303006715,0,0
96,"DTXSID7021360",648310.204230784,1.34484496737033,0.0027572396372298,0.000894114688831593,0.280171594009883,5.45220279626237,13.6029362366836,2.17646979786938,0,0,268.968993474066,0.0266804978503097,0.0266804978503097,0,5.94532319812987e-06,1.77384166981739e-05,0.0253849440031479,0.0253849440031479,0,0,0,0.318831462969827,0.661704589850017,0.105872734376003,5.15092617426892e-09,5.14934702392612e-09,28.5024267071002,1644.32110925987,0,17.8340728518954,0,0
96,"DTXSID8020462",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
