"puc","product_id","formulation_id","chemical","mass.fraction"
"AC.0500.010.050.F",76303,82,"DTXSID2021781",0.048703994
"AC.0500.030.050.F",76362,81,"DTXSID7021360",0.08
"CP.1200.060.099.F",1922,53,"DTXSID8020462",0.004195235
